CustomerID,SurveyYear,SurveyQuarter,SurveyDate,ResponseDate,RecommendationRate,CompanyRate,UserFrequency,QualityRate,PanelUsabilityRate,ReportCapability,SurveyID,SentimentScore,SentimentCategory,SentimentBucket
CRM-1516050,2022,3,2022-07-01,2022-08-26,10.0,5.0,Once a Month,5.0,5.0,I need someone from Insider team to provide me the report from the panel,1,0.0,Neutral,0 to 0.49
CRM-1516050,2022,3,2022-07-01,2022-09-27,10.0,5.0,Once a Month,5.0,5.0,I don't use it often,2,0.0,Neutral,0 to 0.49
CRM-1470950,2022,1,2022-01-01,2022-03-25,4.0,3.0,Once a Day,2.0,3.0,I need someone from Insider team to provide me the report from the panel,3,0.0,Neutral,0 to 0.49
CRM-1470950,2022,3,2022-07-01,2022-09-30,6.0,3.0,Once a Week,4.0,4.0,I tried but could not find everything I need,4,0.0,Neutral,0 to 0.49
CRM-1470950,2022,2,2022-04-01,2022-06-23,10.0,5.0,Once a Day,4.0,3.0,I need someone from Insider team to provide me the report from the panel,5,0.0,Neutral,0 to 0.49
CRM-1470950,2022,1,2022-01-01,2022-03-28,7.0,4.0,Once a Day,4.0,4.0,I need someone from Insider team to provide me the report from the panel,6,0.0,Neutral,0 to 0.49
CRM-1470950,2022,1,2022-01-01,2022-03-28,9.0,5.0,Once a Week,5.0,5.0,I am able to report everything easily,7,0.34,Mixed positive,0 to 0.49
CRM-1470950,2022,3,2022-07-01,2022-08-05,8.0,4.0,Once a Week,4.0,4.0,I tried but could not find everything I need,8,0.0,Neutral,0 to 0.49
CRM-1526100,2022,2,2022-04-01,2022-06-06,10.0,5.0,Once a Month,5.0,5.0,I need someone from Insider team to provide me the report from the panel,9,0.0,Neutral,0 to 0.49
CRM-1526100,2022,3,2022-07-01,2022-09-30,9.0,4.0,Once a Week,4.0,4.0,I am able to report everything easily,10,0.34,Mixed positive,0 to 0.49
CRM-1526100,2022,3,2022-07-01,2022-09-27,10.0,5.0,Once a Day,5.0,3.0,"I can pull all the numbers, but don't understand them",11,0.0,Neutral,0 to 0.49
CRM-1526100,2022,2,2022-04-01,2022-06-06,7.0,4.0,Once a Month,4.0,3.0,"I can pull all the numbers, but don't understand them",12,0.0,Neutral,0 to 0.49
CRM-1506400,2022,3,2022-07-01,2022-09-27,9.0,5.0,Once a Week,5.0,3.0,"I can pull all the numbers, but don't understand them",13,0.0,Neutral,0 to 0.49
CRM-1506400,2022,3,2022-07-01,2022-09-27,10.0,5.0,Once a Week,4.0,3.0,I tried but could not find everything I need,14,0.0,Neutral,0 to 0.49
CRM-1430550,2022,3,2022-07-01,2022-08-04,6.0,4.0,Once a Month,3.0,3.0,I need someone from Insider team to provide me the report from the panel,15,0.0,Neutral,0 to 0.49
CRM-1430550,2022,3,2022-07-01,2022-09-20,10.0,5.0,Once a Week,5.0,5.0,"I can pull all the numbers, but don't understand them",16,0.0,Neutral,0 to 0.49
CRM-1430550,2022,1,2022-01-01,2022-03-01,8.0,4.0,Once a Day,4.0,4.0,"I can pull all the numbers, but don't understand them",17,0.0,Neutral,0 to 0.49
CRM-1430550,2022,1,2022-01-01,2022-03-21,8.0,4.0,Once a Day,4.0,4.0,"I can pull all the numbers, but don't understand them",18,0.0,Neutral,0 to 0.49
CRM-1430550,2022,1,2022-01-01,2022-03-01,9.0,4.0,Once a Week,5.0,4.0,I don't use it often,19,0.0,Neutral,0 to 0.49
CRM-1430550,2022,1,2022-01-01,2022-03-21,9.0,4.0,Once a Week,5.0,4.0,I don't use it often,20,0.0,Neutral,0 to 0.49
CRM-1430550,2022,2,2022-04-01,2022-05-17,8.0,5.0,Once a Day,5.0,4.0,I am able to report everything easily,21,0.34,Mixed positive,0 to 0.49
CRM-1430550,2022,3,2022-07-01,2022-08-04,9.0,5.0,Once a Week,5.0,4.0,I don't use it often,22,0.0,Neutral,0 to 0.49
CRM-154400,2022,1,2022-01-01,2022-03-30,9.0,5.0,Once a Day,5.0,5.0,I am able to report everything easily,23,0.34,Mixed positive,0 to 0.49
CRM-154400,2022,1,2022-01-01,2022-03-30,9.0,5.0,Once a Day,5.0,5.0,I am able to report everything easily,24,0.34,Mixed positive,0 to 0.49
CRM-154400,2022,2,2022-04-01,2022-05-06,9.0,5.0,Once a Day,5.0,5.0,I am able to report everything easily,25,0.34,Mixed positive,0 to 0.49
CRM-154400,2022,3,2022-07-01,2022-09-06,4.0,4.0,Once a Day,4.0,4.0,I am able to report everything easily,26,0.34,Mixed positive,0 to 0.49
CRM-1490400,2022,1,2022-01-01,2022-03-01,8.0,4.0,Once a Day,4.0,3.0,"I can pull all the numbers, but don't understand them",27,0.0,Neutral,0 to 0.49
CRM-1490400,2022,1,2022-01-01,2022-03-01,7.0,4.0,Once a Week,3.0,2.0,"I can pull all the numbers, but don't understand them",28,0.0,Neutral,0 to 0.49
CRM-1468500,2022,2,2022-04-01,2022-05-31,8.0,4.0,Once a Week,4.0,4.0,I need someone from Insider team to provide me the report from the panel,29,0.0,Neutral,0 to 0.49
CRM-1468500,2022,3,2022-07-01,2022-09-27,8.0,4.0,Once a Week,4.0,3.0,I need someone from Insider team to provide me the report from the panel,30,0.0,Neutral,0 to 0.49
CRM-1468500,2022,2,2022-04-01,2022-06-16,7.0,4.0,Once a Week,4.0,4.0,I need someone from Insider team to provide me the report from the panel,31,0.0,Neutral,0 to 0.49
CRM-1468500,2022,3,2022-07-01,2022-08-14,8.0,4.0,Once a Week,4.0,4.0,I need someone from Insider team to provide me the report from the panel,32,0.0,Neutral,0 to 0.49
CRM-1455050,2022,1,2022-01-01,2022-02-01,9.0,4.0,Once a Month,4.0,4.0,I need someone from Insider team to provide me the report from the panel,33,0.0,Neutral,0 to 0.49
CRM-1455050,2022,1,2022-01-01,2022-03-21,9.0,4.0,Once a Month,4.0,4.0,I need someone from Insider team to provide me the report from the panel,34,0.0,Neutral,0 to 0.49
CRM-1455050,2022,2,2022-04-01,2022-06-21,9.0,4.0,Once a Week,4.0,4.0,"I can pull all the numbers, but don't understand them",35,0.0,Neutral,0 to 0.49
CRM-1455050,2022,2,2022-04-01,2022-05-02,8.0,4.0,Once a Week,4.0,4.0,I tried but could not find everything I need,36,0.0,Neutral,0 to 0.49
CRM-1455050,2022,3,2022-07-01,2022-09-28,8.0,4.0,Once a Week,4.0,4.0,I don't use it often,37,0.0,Neutral,0 to 0.49
CRM-1455050,2022,3,2022-07-01,2022-09-28,8.0,4.0,Once a Week,4.0,3.0,I don't use it often,38,0.0,Neutral,0 to 0.49
CRM-1487050,2022,3,2022-07-01,2022-09-25,8.0,3.0,Once a Month,3.0,3.0,"I can pull all the numbers, but don't understand them",39,0.0,Neutral,0 to 0.49
CRM-912150,2022,3,2022-07-01,2022-07-01,7.0,4.0,Once a Day,3.0,3.0,I tried but could not find everything I need,40,0.0,Neutral,0 to 0.49
CRM-1130700,2022,3,2022-07-01,2022-09-26,10.0,5.0,Once a Week,5.0,5.0,I am able to report everything easily,41,0.34,Mixed positive,0 to 0.49
CRM-1172550,2022,2,2022-04-01,2022-06-23,8.0,4.0,Once a Week,4.0,4.0,I don't use it often,42,0.0,Neutral,0 to 0.49
CRM-1172550,2022,2,2022-04-01,2022-06-29,9.0,4.0,Once a Week,5.0,4.0,I am able to report everything easily,43,0.34,Mixed positive,0 to 0.49
CRM-1172550,2022,2,2022-04-01,2022-06-27,10.0,5.0,Once a Week,4.0,5.0,"I can pull all the numbers, but don't understand them",44,0.0,Neutral,0 to 0.49
CRM-1364800,2022,2,2022-04-01,2022-06-29,10.0,5.0,Once a Day,5.0,5.0,I am able to report everything easily,45,0.34,Mixed positive,0 to 0.49
CRM-1434900,2022,1,2022-01-01,2022-03-21,7.0,3.0,Once a Week,4.0,4.0,I tried but could not find everything I need,46,0.0,Neutral,0 to 0.49
CRM-1434900,2022,1,2022-01-01,2022-03-31,8.0,5.0,Once a Week,4.0,4.0,I am able to report everything easily,47,0.34,Mixed positive,0 to 0.49
CRM-1434900,2022,1,2022-01-01,2022-03-21,7.0,4.0,Once a Week,4.0,3.0,I don't use it often,48,0.0,Neutral,0 to 0.49
CRM-1435400,2022,3,2022-07-01,2022-09-28,9.0,5.0,Once a Day,5.0,4.0,I am able to report everything easily,49,0.34,Mixed positive,0 to 0.49
CRM-355050,2022,2,2022-04-01,2022-04-12,5.0,4.0,Once a Day,4.0,4.0,"I can pull all the numbers, but don't understand them",50,0.0,Neutral,0 to 0.49
CRM-355050,2022,3,2022-07-01,2022-09-20,7.0,3.0,Once a Day,3.0,4.0,I tried but could not find everything I need,51,0.0,Neutral,0 to 0.49
CRM-1451500,2022,1,2022-01-01,2022-03-21,9.0,4.0,Once a Week,5.0,4.0,I am able to report everything easily,52,0.34,Mixed positive,0 to 0.49
CRM-1097250,2022,2,2022-04-01,2022-06-15,7.0,5.0,Once a Week,4.0,3.0,I am able to report everything easily,53,0.34,Mixed positive,0 to 0.49
CRM-1097250,2022,3,2022-07-01,2022-09-30,8.0,4.0,Once a Day,3.0,2.0,I need someone from Insider team to provide me the report from the panel,54,0.0,Neutral,0 to 0.49
CRM-156400,2022,2,2022-04-01,2022-05-20,9.0,5.0,Once a Day,5.0,4.0,I need someone from Insider team to provide me the report from the panel,55,0.0,Neutral,0 to 0.49
CRM-165900,2022,1,2022-01-01,2022-02-01,10.0,3.0,Once a Day,5.0,4.0,I need someone from Insider team to provide me the report from the panel,56,0.0,Neutral,0 to 0.49
CRM-165900,2022,1,2022-01-01,2022-03-28,10.0,5.0,Once a Week,5.0,4.0,I need someone from Insider team to provide me the report from the panel,57,0.0,Neutral,0 to 0.49
CRM-165900,2022,2,2022-04-01,2022-05-20,10.0,4.0,Once a Week,5.0,4.0,I don't use it often,58,0.0,Neutral,0 to 0.49
CRM-165900,2022,3,2022-07-01,2022-09-19,10.0,5.0,Once a Day,5.0,5.0,I don't use it often,59,0.0,Neutral,0 to 0.49
CRM-1489100,2022,2,2022-04-01,2022-06-29,10.0,5.0,Once a Day,4.0,5.0,I am able to report everything easily,60,0.34,Mixed positive,0 to 0.49
CRM-1489100,2022,3,2022-07-01,2022-08-30,9.0,4.0,Once a Week,4.0,4.0,"I can pull all the numbers, but don't understand them",61,0.0,Neutral,0 to 0.49
CRM-1489100,2022,1,2022-01-01,2022-03-21,8.0,5.0,Once a Day,5.0,4.0,I am able to report everything easily,62,0.34,Mixed positive,0 to 0.49
CRM-1489100,2022,2,2022-04-01,2022-06-28,7.0,4.0,Once a Week,4.0,3.0,I am able to report everything easily,63,0.34,Mixed positive,0 to 0.49
CRM-1489100,2022,3,2022-07-01,2022-08-30,8.0,4.0,Once a Month,4.0,4.0,I need someone from Insider team to provide me the report from the panel,64,0.0,Neutral,0 to 0.49
CRM-1520400,2022,3,2022-07-01,2022-09-08,8.0,4.0,Once a Month,4.0,4.0,I tried but could not find everything I need,65,0.0,Neutral,0 to 0.49
CRM-1520400,2022,3,2022-07-01,2022-09-20,10.0,5.0,Once a Week,5.0,4.0,I am able to report everything easily,66,0.34,Mixed positive,0 to 0.49
CRM-1520400,2022,3,2022-07-01,2022-09-08,6.0,4.0,Once a Week,3.0,3.0,I tried but could not find everything I need,67,0.0,Neutral,0 to 0.49
CRM-1520700,2022,3,2022-07-01,2022-08-05,7.0,4.0,Once a Day,3.0,4.0,I am able to report everything easily,68,0.34,Mixed positive,0 to 0.49
CRM-1520700,2022,3,2022-07-01,2022-09-09,6.0,3.0,Once a Day,3.0,4.0,I am able to report everything easily,69,0.34,Mixed positive,0 to 0.49
CRM-150500,2022,1,2022-01-01,2022-02-01,7.0,3.0,Once a Day,3.0,2.0,I tried but could not find everything I need,70,0.0,Neutral,0 to 0.49
CRM-150500,2022,2,2022-04-01,2022-06-28,7.0,3.0,Once a Day,3.0,2.0,I tried but could not find everything I need,71,0.0,Neutral,0 to 0.49
CRM-150500,2022,3,2022-07-01,2022-08-05,7.0,3.0,Once a Day,3.0,2.0,I need someone from Insider team to provide me the report from the panel,72,0.0,Neutral,0 to 0.49
CRM-150500,2022,1,2022-01-01,2022-02-01,8.0,3.0,Once a Day,4.0,2.0,I don't use it often,73,0.0,Neutral,0 to 0.49
CRM-150500,2022,2,2022-04-01,2022-04-18,5.0,3.0,Once a Day,3.0,2.0,I don't use it often,74,0.0,Neutral,0 to 0.49
CRM-150500,2022,3,2022-07-01,2022-08-23,8.0,3.0,Once a Day,3.0,2.0,I need someone from Insider team to provide me the report from the panel,75,0.0,Neutral,0 to 0.49
CRM-835900,2022,3,2022-07-01,2022-09-26,10.0,5.0,Once a Day,4.0,4.0,I don't use it often,76,0.0,Neutral,0 to 0.49
CRM-835900,2022,2,2022-04-01,2022-06-20,7.0,4.0,Once a Day,4.0,2.0,I don't use it often,77,0.0,Neutral,0 to 0.49
CRM-835900,2022,3,2022-07-01,2022-08-23,7.0,4.0,Once a Day,4.0,2.0,I need someone from Insider team to provide me the report from the panel,78,0.0,Neutral,0 to 0.49
CRM-152900,2022,2,2022-04-01,2022-06-09,7.0,3.0,Once a Month,3.0,3.0,I don't use it often,79,0.0,Neutral,0 to 0.49
